编号,类型,事件,详细
30000/30100/30111,公共卫生,香港新增89例新冠肺炎确诊病例 连续5日新增少于100例,8月7日下午，香港特区政府卫生署卫生防护中心举行发布会。据介绍，截至7日零时，香港新增89例新冠肺炎确诊病例。这是连续第五日新增确诊病例少于100例。至此，香港累计报告新冠肺炎确诊病例3938例。??新增确诊病例中，8例为境外输入病例，剩余81例均为本土病例，其中有32例暂未查明感染源头。7日，香港疫情累计造成46人死亡。
30000/30100/30111,公共卫生,新疆8月6日新增新冠肺炎确诊病例26例 无症状感染者10例,8月6日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）报告新增新冠肺炎确诊病例26例，新增无症状感染者10例，均在乌鲁木齐市；新增治愈出院确诊病例20例，均为乌鲁木市病例；无症状感染者解除医学观察12例（乌鲁木齐市11例、兵团1例）。截至8月6日24时，新疆（含兵团）现有确诊病例643例（危重症9例、重症19例），其中乌鲁木齐市640例、喀什地区1例（乌鲁木齐市疫情关联病例）、昌吉州1例（乌鲁木齐市输入）、兵团1例；现有无症状感染者128例，其中乌鲁木齐市127例、昌吉州1例（乌鲁木齐市输入）；尚有19546人正在接受医学观察。7月15日0时至8月6日24时，累计治愈出院确诊病例80例，无症状感染者解除医学观察58例。
30000/30100/30111,公共卫生,北京新发地聚集性疫情在院病例全部清零,8月6日，北京新发地市场聚集性疫情335名确诊病例中最后一名患者在北京地坛医院治愈出院。335例确诊病例中，男性187例，女性148例，平均年龄42岁，平均住院日27天。经过56天的努力，患者收治率为100%、中医药参与救治率100%、治愈率达100%，医务人员实现了零感染。随着北京新发地市场聚集性疫情最后一名确诊患者出院，地坛医院已逐步恢复正常的诊疗工作，继续承担应急医疗救治任务和为其他患者提供医疗服务
30000/30100/30111,公共卫生,北京8月6日新增大连疫情关联病例1例,8月6日0时至24时，北京市新增大连市疫情关联病例1例，为7月27日确诊的大连市疫情关联病例的家庭密切接触者，在隔离观察点的例行监测中发现核酸阳性，临床诊断为新冠肺炎普通型，已收入地坛医院。6日无新增疑似病例和无症状感染者，无新增报告境外确诊病例、疑似病例和无症状感染者；治愈出院病例1例。7月下旬以来，累计报告大连市疫情关联病例4例；境外输入病例2例。6月11日0时至8月6日24时，新发地聚集性疫情累计报告确诊病例335例，经地坛医院和有关方面专业力量精心疗护，通力合作，已全部出院清零。为期一个多月的救护过程中，医务人员悉心疗护，患者积极配合，取得了积极良好的治疗效果。平谷区自有疫情以来无报告病例、延庆区196天、怀柔区182天、顺义区180天、密云区177天、石景山区53天、门头沟区52天、房山区52天、东城区51天、通州区47天、朝阳区46天、西城区45天、海淀区42天、大兴区37天、丰台区32天。
30000/30100/30111,公共卫生,国家卫健委：8月6日新增确诊病例37例 其中本土病例27例,8月6日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例37例，其中境外输入病例10例（上海7例，辽宁1例，江苏1例，四川1例），本土病例27例（新疆26例，北京1例）；无新增死亡病例；新增疑似病例2例，均为境外输入病例（均在上海）。当日新增治愈出院病例31例，解除医学观察的密切接触者313人，重症病例较前一日增加2例。境外输入现有确诊病例106例（其中重症病例1例），现有疑似病例3例。累计确诊病例2120例，累计治愈出院病例2014例，无死亡病例。截至8月6日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例843例（其中重症病例36例），累计治愈出院病例79088例，累计死亡病例4634例，累计报告确诊病例84565例，现有疑似病例3例。累计追踪到密切接触者798436人，尚在医学观察的密切接触者26499人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者14例（境外输入4例）；当日无转为确诊病例；当日解除医学观察23例（境外输入9例）；尚在医学观察无症状感染者273例（境外输入112例）。累计收到港澳台地区通报确诊病例4372例。其中，香港特别行政区3849例（出院2458例，死亡46例），澳门特别行政区46例（出院46例），台湾地区477例（出院441例，死亡7例）。
30000/30100/30111,公共卫生,7日起由香港入境澳门人士须持24小时内核酸检测阴性证明,澳门新型冠状病毒感染应变协调中心6日下午宣布，鉴于香港新型冠状病毒感染疫情持续，基于公共卫生考虑，自8月7日6时起，所有由香港入境澳门的人士均须持有24小时内进行的新型冠状病毒核酸检测阴性证明，未持有证明者可被拒绝入境。由香港至澳门交通工具的营运者或驾驶者应拒绝未持有证明者搭乘，违反者可能受到相关法规的处罚。同时，维持入境前14天曾到过香港的人士须在卫生当局指定地点接受14天医学观察的措施。
30000/30100/30111,公共卫生,大连回应隔离人员解除隔离后又被“召回”事件,8月6日上午，大连市召开疫情防控新闻发布会，通报疫情最新进展和防控措施等情况。大连市卫生健康委副主任赵连介绍公众关注的大连市隔离人员解除隔离后又被“召回”的事情。按照国家《新型冠状病毒肺炎防控方案》，密切接触者医学观察期限为“自最后一次与病例、无症状感染者发生无有效防护接触后14天”的要求。大连市本次疫情首例病例石某7月18日最后一天上班，故将7月18日作为石某在凯洋公司的最后暴露时间。按此时间推一个最长潜伏期，认定石某的密切接触者解除隔离时间为8月1日，符合国家方案规范要求。根据大连这次疫情新的特点，国家专家最新的研判分析，提出了新的建议。大连市从更加谨慎的角度考虑又增加了隔离天数。
30000/30100/30111,公共卫生,辽宁8月5日日新增3例本土新冠肺炎确诊病例 均为大连市报告病例,8月5日0时至24时，辽宁省新增3例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型1例），其中1例为无症状感染者转归确诊病例。新增本土确诊病例治愈出院1例。当日本土无症状感染者治愈出院1例；境外输入无症状感染者治愈出院1例。截至8月5日24时，辽宁全省累计报告确诊病例258例（含境外输入34例），治愈出院161例，死亡2例，在院治疗95例。目前，尚有24例无症状感染者在定点医院隔离治疗。
30000/30100/30111,公共卫生,大连加强对重点地区中转旅客的信息采集,8月5日上午，大连市召开疫情防控新闻发布会，通报疫情最新进展和防控措施等情况。大连市人民政府口岸办公室主任李奇介绍，目前，大连市无国内重点关注地区直达航线、班线。对经中转来连的重点关注地区旅客，大连机场、火车站、港口客运站加强旅客信息采集，做好相关旅客信息推送工作。设置重点关注地区来连人员专用通道，对所有来连旅客进行体温监测，若有体温异常且来自重点关注地区人员安置到留观区暂时隔离，及时报120送至医疗机构发热门诊。对于体温正常人员引导出站自行前往目的地，在出站口设置温馨提示牌，要求旅客主动向目的地所在社区进行申报，由社区对其实施管控。
30000/30100/30111,公共卫生,北京8月4日新增境外输入确诊病例1例 治愈出院1例,8月4日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院1例。新增报告境外确诊病例1例，为7月27日印度尼西亚输入确诊病例的家庭成员，在隔离观察期间核酸检测呈现阳性后被确诊，无新增报告疑似病例和无症状感染者。6月11日0时至8月4日24时，新发地聚集性疫情累计报告确诊病例335例，治愈出院334例，在院1例，尚在观察的无症状感染者1例。7月下旬以来，累计报告大连市疫情关联病例3例；境外输入病例2例。平谷区自有疫情以来无报告病例、延庆区194天无报告病例、怀柔区180天、顺义区178天、密云区175天、石景山区51天、门头沟区50天、房山区50天、东城区49天、通州区45天、朝阳区44天、西城区43天、海淀区40天、大兴区35天、丰台区30天、昌平区6天。
30000/30100/30111,公共卫生,新疆：治愈出院患者将继续不少于14天的康复期,8月3日0时至24时，新疆新增28例本土病例，新增无症状感染者9例，新增治愈出院确诊病例12例。今天（4日）下午，新疆维吾尔自治区人民政府新闻办公室召开疫情防控发布会。会上，新疆新冠肺炎医疗救治定点医院副院长陆晨在发布会上介绍，新疆本次疫情中，中医参与度达100%。目前治愈出院患者42例，无症状感染者解除医学观察37例，重症转普通患者共计19例，治愈出院的确诊患者，解除医学观察的无症状感染者还将继续不少于14天的康复期。
30000/30100/30111,公共卫生,新疆疾控中心：基因测序显示此次疫情来源于同一传染源,8月3日0时至24时， 新疆新增28例本土病例，新增无症状感染者9例，新增治愈出院确诊病例12例。今天（8月4日）下午，新疆维吾尔自治区人民政府新闻办公室召开疫情防控发布会，通报疫情防控最新情况。自治区疾控中心主任崔燕在发布会上介绍：从目前的流行病学调查阶段性分析来看，新疆此次疫情表现为单一源头来源，通过对前期病例基因测序，结果显示为多个检测样本序列相同，表明此次疫情来源于同一传染源暴露所致。新疆此次疫情在区域事件上表现出较强的聚集性，到目前为止，99.3%的病例出现在乌鲁木齐，昌吉和喀什各出现1例和2例乌鲁木齐市关联病例。
30000/30100/30111,公共卫生,大连：对大连湾核心区域人员实施第三次核酸检测,8月4日，大连市召开新冠肺炎疫情防控工作第30次新闻发布会。大连市卫生健康委副主任赵连介绍，目前，大连已完成城乡地区的核酸检测工作，完成高风险地区大连湾地区的第二次全员核酸检测。自8月3日起，对大连湾核心区域人员实施第三次核酸检测，8月3日完成核酸检测83.9万人。
30000/30100/30111,公共卫生,?北京连续五日无新增新冠肺炎确诊病例 新增治愈出院1例,8月3日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者，治愈出院1例；无新增报告境外确诊病例、疑似病例和无症状感染者。6月11日0时至8月3日24时，新发地聚集性疫情累计报告相关确诊病例335例，治愈出院333例，在院2例；大连市疫情关联病例累计3例；境外输入病例1例；尚在观察的无症状感染者1例。平谷区自有疫情以来无报告病例、延庆区193天无报告病例、怀柔区179天、顺义区177天、密云区174天、石景山区50天、门头沟区49天、房山区49天、东城区48天、通州区44天、朝阳区43天、西城区42天、海淀区39天、大兴区34天、丰台区29天、昌平区5天。
30000/30100/30111,公共卫生,国家卫健委：8月3日31个省区市新增新冠肺炎确诊病例36例,8月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例36例，其中境外输入病例6例（广东4例，上海1例，四川1例），本土病例30例（新疆28例，辽宁2例）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。当日新增治愈出院病例17例，解除医学观察的密切接触者547人，重症病例较前一日增加1例。境外输入现有确诊病例97例（其中重症病例2例），现有疑似病例5例。累计确诊病例2098例，累计治愈出院病例2001例，无死亡病例。截至8月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例800例（其中重症病例36例），累计治愈出院病例79030例，累计死亡病例4634例，累计报告确诊病例84464例，现有疑似病例5例。累计追踪到密切接触者792481人，尚在医学观察的密切接触者21743人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者21例（境外输入12例）；当日转为确诊病例2例（境外输入1例）；当日解除医学观察12例（境外输入1例）；尚在医学观察无症状感染者264例（境外输入112例）。累计收到港澳台地区通报确诊病例4109例。其中，香港特别行政区3589例（出院2037例，死亡38例），澳门特别行政区46例（出院46例），台湾地区474例（出院441例，死亡7例）。
30000/30100/30111,公共卫生,新疆（含兵团）8月3日新增新冠肺炎确诊病例28例,新疆维吾尔自治区卫生健康委最新通报，8月3日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）报告新增新冠肺炎确诊病例28例，新增无症状感染者9例，均在乌鲁木齐市；新增治愈出院确诊病例12例，无症状感染者解除医学观察11例，均在乌鲁木齐市。截至8月3日24时，新疆（含兵团）现有确诊病例606例（危重症6例、重症21例），其中乌鲁木齐市602例、喀什地区2例（乌鲁木齐市输入病例1例、乌鲁木齐市疫情关联病例1例）、昌吉州1例（乌鲁木齐市输入）、兵团1例；现有无症状感染者114例，其中乌鲁木齐市112例、昌吉州1例（乌鲁木齐市输入）、兵团1例；尚有15213人正在接受医学观察。7月15日0时至8月3日24时，累计治愈出院确诊病例42例，无症状感染者解除医学观察37例，均在乌鲁木齐市。
30000/30100/30111,公共卫生,乌鲁木齐新冠肺炎确诊病例和无症状感染者总数连续4日下降,今天（8月3日），新疆维吾尔自治区召开疫情防控第十七场新闻发布会。会上，乌鲁木齐市人民政府副秘书长尚玉岚通报了乌鲁木齐市疫情最新情况：8月2日0时至24时，乌鲁木齐市报告新增新冠肺炎确诊病例28例，新增无症状感染者8例，当日新增治愈出院确诊病例7例，新增无症状感染者解除医学观察4例。8月1日0时至8月2日24时，乌鲁木齐市累计治愈出院确诊病例30例，无症状感染者解除医学观察26例。截至8月2日24时，乌鲁木齐市现有确诊病例586例，现有无症状感染者114例。乌鲁木齐市确诊病例和无症状感染者总数连续4日下降，累计确诊病例数增幅与前期相比趋于平缓。当前疫情形势仍然十分严峻，但在一系列有力措施的推动下，疫情形势总体上正在出现一些积极的变化，治愈出院病例和无症状感染者解除医学观察人数不断增加，进一步坚定了乌鲁木齐市各族群众理解支持下，早日打赢疫情防控攻坚战。
30000/30100/30111,公共卫生,香港1日新增115例新冠肺炎确诊病例 累计确诊3511例,8月2日下午，香港特区政府卫生署卫生防护中心举行发布会。据介绍，截至2日零时，香港单日新增115例新冠肺炎确诊病例，全部都是本地感染个案。这也是香港连续第12日新增患者数过百。新增个案中，有76例与其他确诊案例相关，当中有58例确诊者都因与亲友聚会或在餐馆就餐而感染。至此，香港累计确诊病例增至3511例。2日，香港新增死亡新冠肺炎患者1名，是家住牛池湾彩虹邨感染群组的94岁男性患者。至此，香港疫情造成累计34人死亡。
30000/30100/30111,公共卫生,国家卫健委：8月2日31个省区市新增新冠肺炎确诊病例43例,8月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例43例，其中境外输入病例7例（江苏3例，山东2例，辽宁1例，广东1例），本土病例36例（新疆28例，辽宁8例）；无新增死亡病例；新增疑似病例3例，均为境外输入病例（均在上海）。当日新增治愈出院病例10例，解除医学观察的密切接触者560人，重症病例较前一日减少1例。境外输入现有确诊病例95例（其中重症病例2例），现有疑似病例4例。累计确诊病例2092例，累计治愈出院病例1997例，无死亡病例。截至8月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例781例（其中重症病例35例），累计治愈出院病例79013例，累计死亡病例4634例，累计报告确诊病例84428例，现有疑似病例4例。累计追踪到密切接触者791776人，尚在医学观察的密切接触者21585人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者11例（境外输入3例）；当日转为确诊病例6例（境外输入1例）；当日解除医学观察5例（境外输入1例）；尚在医学观察无症状感染者257例（境外输入102例）。累计收到港澳台地区通报确诊病例4031例。其中，香港特别行政区3511例（出院1959例，死亡35例），澳门特别行政区46例（出院46例），台湾地区474例（出院441例，死亡7例）。
30000/30100/30111,公共卫生,北京连续4日无新增报告新冠肺炎确诊病例,8月2日0时至24时，北京无新增报告本地确诊病例、疑似病例和无症状感染者；无新增报告境外确诊病例、疑似病例和无症状感染者。6月11日0时至8月2日24时，北京新发地聚集性疫情累计报告相关确诊病例335例，治愈出院332例，在院3例；大连市疫情关联病例累计3例；境外输入病例1例；尚在观察的无症状感染者1例。平谷区自有疫情以来无报告病例、延庆区192天无报告病例、怀柔区178天、顺义区176天、密云区173天、石景山区49天、门头沟区48天、房山区48天、东城区47天、通州区43天、朝阳区42天、西城区41天、海淀区38天、大兴区33天、丰台区28天、昌平区4天。
30000/30100/30111,公共卫生,新疆8月2日新增28例新冠肺炎确诊病例 新增无症状感染者8例,新疆维吾尔自治区卫生健康委最新通报，8月2日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）报告新增新冠肺炎确诊病例28例，新增无症状感染者8例，均在乌鲁木齐市；新增治愈出院确诊病例7例，无症状感染者解除医学观察4例，均在乌鲁木齐市；重症转普通型1例。截至8月2日24时，新疆（含兵团）现有确诊病例590例（危重症5例、重症21例），其中乌鲁木齐市586例、喀什地区2例（乌鲁木齐市输入病例1例、乌鲁木齐市疫情关联病例1例）、昌吉州1例（乌鲁木齐市输入）、兵团1例；现有无症状感染者116例，其中乌鲁木齐市114例、昌吉州1例（乌鲁木齐市输入）、兵团1例；尚有14939人正在接受医学观察。7月15日0时至8月2日24时，累计治愈出院确诊病例30例，无症状感染者解除医学观察26例，均在乌鲁木齐市。
30000/30100/30111,公共卫生,乌鲁木齐：确诊病例和无症状感染者所在小区居民全部核酸检测,8月2日下午，新疆召开疫情防控第十六场新闻发布会，介绍乌鲁木齐市新冠肺炎疫情和防控工作情况。乌鲁木齐市疾控中心副主任 文国新：首先是控制传染源，切断传播途径，将明确确诊的病例和无症状感染者第一时间转运至定点医院及时治疗。确保出现确诊病例和无症状感染者的小区实行严格的封闭管理，对确诊病例的家庭、楼栋及周边的环境采样检测，对可能被污染的环境中的所有物体表面用品、空气进行严格的终末消毒。对同一小区居民，全部进行核酸检测，对确诊病例开展流调溯源，做好密切接触排查，确保追踪到所有的密切接触者，并全部落实集中医学观察。
30000/30100/30111,公共卫生,国家卫健委：8月1日31个省区市报告新增新冠肺炎确诊病例49例,8月1日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例49例，其中境外输入病例16例（四川4例，山东3例，湖北3例，广东2例，陕西2例，上海1例，福建1例），本土病例33例（新疆30例，辽宁3例）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例14例，解除医学观察的密切接触者145人，重症病例较前一日减少3例。境外输入现有确诊病例91例（其中重症病例3例），现有疑似病例2例。累计确诊病例2085例，累计治愈出院病例1994例，无死亡病例。截至8月1日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例748例（其中重症病例36例），累计治愈出院病例79003例，累计死亡病例4634例，累计报告确诊病例84385例（新疆核减1例），现有疑似病例2例。累计追踪到密切接触者791054人，尚在医学观察的密切接触者21445人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者20例（境外输入9例）；当日转为确诊病例4例（境外输入4例）；当日解除医学观察11例（境外输入3例）；尚在医学观察无症状感染者257例（境外输入101例）。累计收到港澳台地区通报确诊病例3916例。其中，香港特别行政区3396例（出院1858例，死亡31例），澳门特别行政区46例（出院46例），台湾地区474例（出院441例，死亡7例）。
