标题,url,日期,详细
截至12月4日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/200039b537b644f79541af3db34d1486.shtml,2020-12-05,12月4日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例17例，其中境外输入病例15例（上海3例，河南3例，广东3例，四川3例，北京1例，山西1例，福建1例），本土病例2例（均在内蒙古）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例15例，解除医学观察的密切接触者1652人，重症病例较前一日增加1例。境外输入现有确诊病例239例（其中重症病例4例），现有疑似病例6例。累计确诊病例3919例，累计治愈出院病例3680例，无死亡病例。截至12月4日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例273例（其中重症病例6例），累计治愈出院病例81694例，累计死亡病例4634例，累计报告确诊病例86601例，现有疑似病例8例。累计追踪到密切接触者882710人，尚在医学观察的密切接触者5896人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者12例（境外输入11例）；当日转为确诊病例1例（为境外输入）；当日解除医学观察11例（均为境外输入）；尚在医学观察无症状感染者249例（境外输入242例）。累计收到港澳台地区通报确诊病例7437例。其中，香港特别行政区6701例（出院5465例，死亡112例），澳门特别行政区46例（出院46例），台湾地区690例（出院572例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月3日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/487378ac82ca4bdbbf82fd03eaa3a182.shtml,2020-12-04,12月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例17例，其中境外输入病例15例（上海9例，福建2例，河南2例，山东1例，广东1例），本土病例2例（均在内蒙古）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。当日新增治愈出院病例12例，解除医学观察的密切接触者429人，重症病例较前一日减少1例。境外输入现有确诊病例238例（其中重症病例3例），现有疑似病例6例。累计确诊病例3904例，累计治愈出院病例3666例，无死亡病例。截至12月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例271例（其中重症病例5例），累计治愈出院病例81679例，累计死亡病例4634例，累计报告确诊病例86584例，现有疑似病例8例。累计追踪到密切接触者882239人，尚在医学观察的密切接触者7077人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者12例（均为境外输入）；当日无转为确诊病例；当日解除医学观察17例（均为境外输入）；尚在医学观察无症状感染者249例（境外输入243例）。累计收到港澳台地区通报确诊病例7321例。其中，香港特别行政区6589例（出院5423例，死亡111例），澳门特别行政区46例（出院46例），台湾地区686例（出院572例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月2日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/474e12dd937645e49aaf58256a1027e6.shtml,2020-12-03,12月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例16例，均为境外输入病例（上海8例，广东4例，山东2例，湖北1例，陕西1例）；无新增死亡病例；新增疑似病例2例，均为境外输入病例（均在上海）。当日新增治愈出院病例18例，解除医学观察的密切接触者351人，重症病例较前一日减少2例。境外输入现有确诊病例235例（其中重症病例3例），现有疑似病例6例。累计确诊病例3889例，累计治愈出院病例3654例，无死亡病例。截至12月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例266例（其中重症病例6例），累计治愈出院病例81667例，累计死亡病例4634例，累计报告确诊病例86567例，现有疑似病例8例。累计追踪到密切接触者881740人，尚在医学观察的密切接触者7007人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者6例（境外输入5例）；当日转为确诊病例2例（均为境外输入）；当日解除医学观察9例（均为境外输入）；尚在医学观察无症状感染者254例（境外输入248例）。累计收到港澳台地区通报确诊病例7230例。其中，香港特别行政区6499例（出院5394例，死亡110例），澳门特别行政区46例（出院46例），台湾地区685例（出院570例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月1日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/262d3d4f4eaa491b875a24027a606aba.shtml,2020-12-02,12月1日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例9例，其中境外输入病例7例（广东3例，上海1例，福建1例，河南1例，陕西1例），本土病例2例（均在内蒙古）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。当日新增治愈出院病例18例，解除医学观察的密切接触者1350人，重症病例与前一日持平。境外输入现有确诊病例235例（其中重症病例3例），现有疑似病例5例。累计确诊病例3873例，累计治愈出院病例3638例，无死亡病例。截至12月1日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例268例（其中重症病例8例），累计治愈出院病例81649例，累计死亡病例4634例，累计报告确诊病例86551例，现有疑似病例7例。累计追踪到密切接触者881135人，尚在医学观察的密切接触者6753人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者3例（境外输入1例）；当日转为确诊病例1例（无境外输入）；当日解除医学观察7例（境外输入6例）；尚在医学观察无症状感染者259例（境外输入254例）。累计收到港澳台地区通报确诊病例7117例。其中，香港特别行政区6396例（出院5361例，死亡109例），澳门特别行政区46例（出院46例），台湾地区675例（出院565例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至11月30日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/44be13cf0ac2404fba350baa3e764cf6.shtml,2020-12-01,11月30日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例12例，其中境外输入病例8例（上海2例，福建2例，四川2例，北京1例，陕西1例），本土病例4例（均在内蒙古）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例12例，解除医学观察的密切接触者305人，重症病例较前一日增加1例。境外输入现有确诊病例245例（其中重症病例3例），现有疑似病例4例。累计确诊病例3866例，累计治愈出院病例3621例，无死亡病例。截至11月30日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例277例（其中重症病例8例），累计治愈出院病例81631例，累计死亡病例4634例，累计报告确诊病例86542例，现有疑似病例6例。累计追踪到密切接触者880179人，尚在医学观察的密切接触者7147人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者5例（境外输入4例）；当日转为确诊病例5例（境外输入2例）；当日解除医学观察17例（均为境外输入）；尚在医学观察无症状感染者264例（境外输入259例）。累计收到港澳台地区通报确诊病例7035例。其中，香港特别行政区6314例（出院5344例，死亡109例），澳门特别行政区46例（出院46例），台湾地区675例（出院565例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至11月28日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202011/6d4b18f7b0a94832b0f9b8a0e561c6d5.shtml,2020-11-29,11月28日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例11例，均为境外输入病例（福建4例，上海3例，四川1例，云南1例，陕西1例，甘肃1例）；无新增死亡病例；新增疑似病例4例，均为境外输入病例（均在上海）。当日新增治愈出院病例16例，解除医学观察的密切接触者2121人，重症病例与前一日持平。境外输入现有确诊病例254例（其中重症病例4例），现有疑似病例5例。累计确诊病例3843例，累计治愈出院病例3589例，无死亡病例。截至11月28日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例280例（其中重症病例8例），累计治愈出院病例81598例，累计死亡病例4634例，累计报告确诊病例86512例，现有疑似病例7例。累计追踪到密切接触者879310人，尚在医学观察的密切接触者8211人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者10例（境外输入9例）；当日转为确诊病例1例（为境外输入）；当日解除医学观察18例（均为境外输入）；尚在医学观察无症状感染者279例（境外输入274例）。累计收到港澳台地区通报确诊病例6817例。其中，香港特别行政区6123例（出院5328例，死亡109例），澳门特别行政区46例（出院46例），台湾地区648例（出院556例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至11月27日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202011/c02ae1c55f774e7f94dbc4c08edc5e2a.shtml,2020-11-28,11月27日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例6例，均为境外输入病例（福建2例，天津1例，浙江1例，四川1例，云南1例）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例24例，解除医学观察的密切接触者893人，重症病例与前一日持平。境外输入现有确诊病例259例（其中重症病例4例），现有疑似病例2例。累计确诊病例3832例，累计治愈出院病例3573例，无死亡病例。截至11月27日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例285例（其中重症病例8例），累计治愈出院病例81582例，累计死亡病例4634例，累计报告确诊病例86501例，现有疑似病例4例。累计追踪到密切接触者878626人，尚在医学观察的密切接触者9649人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者4例（均为境外输入）；当日转为确诊病例1例（为境外输入）；当日解除医学观察23例（均为境外输入）；尚在医学观察无症状感染者288例（境外输入284例）。累计收到港澳台地区通报确诊病例6724例。其中，香港特别行政区6039例（出院5313例，死亡108例），澳门特别行政区46例（出院46例），台湾地区639例（出院555例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至11月26日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202011/f44d8c144bf746f589d49b36328098ae.shtml,2020-11-27,11月26日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例5例，均为境外输入病例（上海3例，福建1例，陕西1例）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例8例，解除医学观察的密切接触者930人，重症病例较前一日增加1例。境外输入现有确诊病例275例（其中重症病例4例），现有疑似病例2例。累计确诊病例3826例，累计治愈出院病例3551例，无死亡病例。截至11月26日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例303例（其中重症病例8例），累计治愈出院病例81558例，累计死亡病例4634例，累计报告确诊病例86495例，现有疑似病例4例。累计追踪到密切接触者878275人，尚在医学观察的密切接触者10191人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者8例（均为境外输入）；当日无转为确诊病例；当日解除医学观察21例（均为境外输入）；尚在医学观察无症状感染者308例（境外输入304例）。累计收到港澳台地区通报确诊病例6618例。其中，香港特别行政区5947例（出院5300例，死亡108例），澳门特别行政区46例（出院46例），台湾地区625例（出院555例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至11月25日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202011/d721ef339f314586971cde438f0aa269.shtml,2020-11-26,11月25日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例21例，其中境外输入病例12例（上海5例，广东4例，江苏1例，福建1例，四川1例），本土病例9例（均在内蒙古）；无新增死亡病例；新增疑似病例3例，其中境外输入病例2例（均在上海），本土病例1例（在内蒙古）。当日新增治愈出院病例20例，解除医学观察的密切接触者925人，重症病例较前一日增加1例。境外输入现有确诊病例278例（其中重症病例3例），现有疑似病例3例。累计确诊病例3821例，累计治愈出院病例3543例，无死亡病例。截至11月25日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例306例（其中重症病例7例），累计治愈出院病例81550例，累计死亡病例4634例，累计报告确诊病例86490例，现有疑似病例5例。累计追踪到密切接触者877922人，尚在医学观察的密切接触者10768人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者5例（境外输入4例）；当日转为确诊病例4例（境外输入2例）；当日解除医学观察15例（均为境外输入）；尚在医学观察无症状感染者321例（境外输入317例）。累计收到港澳台地区通报确诊病例6535例。其中，香港特别行政区5866例（出院5295例，死亡108例），澳门特别行政区46例（出院46例），台湾地区623例（出院553例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至11月24日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202011/71685bb209cc406a9ad9e3dba1f93af2.shtml,2020-11-25,11月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例5例，均为境外输入病例（上海2例，福建1例，广东1例，陕西1例）；无新增死亡病例；新增疑似病例1例，为本土病例（在内蒙古）。当日新增治愈出院病例22例，解除医学观察的密切接触者536人，重症病例与前一日持平。境外输入现有确诊病例286例（其中重症病例2例），现有疑似病例1例。累计确诊病例3809例，累计治愈出院病例3523例，无死亡病例。截至11月24日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例305例（其中重症病例6例），累计治愈出院病例81530例，累计死亡病例4634例，累计报告确诊病例86469例，现有疑似病例2例。累计追踪到密切接触者877795人，尚在医学观察的密切接触者11566人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者6例（境外输入4例）；当日转为确诊病例1例（为境外输入）；当日解除医学观察18例（均为境外输入）；尚在医学观察无症状感染者335例（境外输入330例）。累计收到港澳台地区通报确诊病例6445例。其中，香港特别行政区5781例（出院5274例，死亡108例），澳门特别行政区46例（出院46例），台湾地区618例（出院549例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
